Fiji,95,96,96,,,,93,96,95,,,,91,95,93,,,,90,95,92,,,,88,95,91,,,,86,94,90,,,,84,94,89,,,,82,93,88,,,,80,93,87,,,,78,93,85,,,,76,92,84,,,,74,92,83,,,,73,91,82,,,,71,91,81,,,,71,91,81,,,,71,91,80,,,
Finland,99,99,99,,98,92,99,99,99,,98,92,99,99,99,,98,92,99,99,99,,98,91,99,99,99,,98,91,99,99,99,,98,91,99,99,99,,98,91,99,99,99,,98,91,99,99,99,,98,91,99,99,99,,98,91,99,99,99,,97,91,99,99,99,,97,90,99,99,99,,97,90,99,99,99,,97,90,99,99,99,,97,89,99,99,99,,97,89
France,99,99,99,,,92,99,99,99,,,92,99,99,99,,,91,99,99,99,,,91,99,99,99,,,91,99,99,99,,,91,99,99,99,,,90,99,99,99,,,90,99,99,99,,,90,99,99,99,,,89,99,99,99,,,89,99,99,99,,,89,99,99,99,,,88,99,99,99,,,88,99,99,99,,,88,99,99,99,,,88
Gabon,32,42,41,,,,32,42,41,,,,33,42,41,,,,33,42,41,,,,33,42,40,,,,33,42,40,,,,33,41,40,,,,33,41,40,,,,34,41,40,,,,34,41,40,,,,34,41,40,,,,34,41,40,,,,34,41,39,,,,34,40,39,,,,34,40,39,,,,35,40,39,,,
Gambia,35,46,42,,,,37,46,42,,,,38,47,43,,,,40,47,44,,,,42,47,45,,,,43,48,46,,,,45,48,47,,,,46,49,47,,,,48,49,48,,,,49,49,49,,,,51,50,50,,,,52,50,51,,,,54,50,52,,,,56,51,53,,,,57,51,54,,,,59,51,55,,,
Georgia,73,95,85,,17,,75,95,86,,16,,76,95,86,,16,,78,95,87,,15,,80,95,88,,14,,81,96,89,,14,,83,96,90,,13,,85,96,90,,12,,86,96,91,,11,,88,96,92,,10,,89,96,93,,9,,91,96,94,,8,,93,96,95,,7,,94,96,95,,7,,96,96,96,,6,,96,96,96,,6,
Germany,99,99,99,92,97,95,99,99,99,92,97,95,99,99,99,92,97,95,99,99,99,92,97,95,99,99,99,92,97,96,99,99,99,92,97,96,99,99,99,92,97,96,99,99,99,92,97,96,99,99,99,92,97,96,99,99,99,92,98,96,99,99,99,92,98,96,99,99,99,92,98,96,99,99,99,93,98,96,99,99,99,93,98,96,99,99,99,93,98,96,99,99,99,93,98,96
Ghana,9,19,14,,,,9,19,14,,,,9,19,14,,,,8,19,14,,,,8,18,13,,,,8,18,13,,,,8,18,13,,,,8,18,13,,,,8,18,13,,,,7,18,12,,,,7,18,12,,,,7,18,12,,,,7,18,12,,,,7,18,12,,,,6,18,11,,,,6,17,11,,,
Greece,98,99,99,,81,75,98,99,99,,81,75,97,99,98,,81,75,97,99,98,,81,75,97,99,98,,81,75,96,99,98,,81,74,96,99,98,,81,74,95,99,98,,81,74,95,99,98,,81,74,95,99,98,,81,74,94,98,97,,81,74,94,98,97,,81,73,94,98,97,,81,73,93,98,97,,81,73,93,98,97,,81,73,92,98,97,,80,73
Grenada,,,88,,,,,,88,,,,,,88,,,,,,89,,,,,,89,,,,,,89,,,,,,90,,,,,,90,,,,,,90,,,,,,91,,,,,,91,,,,,,91,,,,,,92,,,,,,92,,,,,,92,,,,,,92,,,
Guatemala,53,81,67,,,,52,81,67,,,,52,80,66,,,,51,80,66,,,,50,80,65,,,,50,80,65,,,,49,80,64,,,,48,80,64,,,,48,80,63,,,,47,80,63,,,,46,79,62,,,,46,79,61,,,,45,79,61,,,,44,79,60,,,,44,79,60,,,,43,79,59,,,
Guinea,15,34,22,,,,14,33,21,,,,13,33,20,,,,12,32,19,,,,12,31,18,,,,11,30,18,,,,10,29,17,,,,9,29,16,,,,9,28,15,,,,8,27,14,,,,7,26,13,,,,6,25,12,,,,5,25,12,,,,5,24,11,,,,4,23,10,,,,3,22,9,,,
Guinea-Bissau,8,35,21,,,,8,34,21,,,,8,34,20,,,,8,33,20,,,,7,32,19,,,,7,32,18,,,,7,31,18,,,,6,31,17,,,,6,30,16,,,,6,29,16,,,,5,29,15,,,,5,28,14,,,,5,28,14,,,,5,27,13,,,,4,26,13,,,,4,26,12,,,
Guyana,85,89,86,,,,84,89,86,,,,84,89,85,,,,83,89,85,,,,82,88,84,,,,82,88,84,,,,81,88,83,,,,80,88,82,,,,80,87,82,,,,79,87,81,,,,79,87,81,,,,78,87,80,,,,77,87,80,,,,77,86,79,,,,76,86,79,,,,75,86,78,,,
Haiti,22,37,31,,,,22,37,30,,,,21,36,29,,,,20,36,29,,,,19,35,28,,,,18,34,27,,,,18,34,26,,,,17,33,25,,,,16,33,24,,,,15,32,23,,,,14,31,22,,,,14,31,21,,,,13,30,20,,,,12,30,19,,,,11,29,18,,,,10,29,17,,,
